filename,page,char_count,table_count,is_scanned_guess
fta_performance_survey_final_report_2022.pdf,152,498,1,False
fta_performance_survey_final_report_2022.pdf,153,1777,0,False
fta_performance_survey_final_report_2022.pdf,154,1898,0,False
fta_performance_survey_final_report_2022.pdf,155,226,0,False
IDU-c8669478-c9e4-4199-88f9-b2c0a1d00396.pdf,1,481,0,False
IDU-c8669478-c9e4-4199-88f9-b2c0a1d00396.pdf,2,2717,0,False
IDU-c8669478-c9e4-4199-88f9-b2c0a1d00396.pdf,3,1365,0,False
IDU-c8669478-c9e4-4199-88f9-b2c0a1d00396.pdf,4,3456,0,False
IDU-c8669478-c9e4-4199-88f9-b2c0a1d00396.pdf,5,2329,0,False
IDU-c8669478-c9e4-4199-88f9-b2c0a1d00396.pdf,6,1436,0,False
IDU-c8669478-c9e4-4199-88f9-b2c0a1d00396.pdf,7,2092,0,False
IDU-c8669478-c9e4-4199-88f9-b2c0a1d00396.pdf,8,2178,0,False
IDU-c8669478-c9e4-4199-88f9-b2c0a1d00396.pdf,9,4118,0,False
IDU-c8669478-c9e4-4199-88f9-b2c0a1d00396.pdf,10,2881,0,False
IDU-c8669478-c9e4-4199-88f9-b2c0a1d00396.pdf,11,1684,0,False
IDU-c8669478-c9e4-4199-88f9-b2c0a1d00396.pdf,12,1086,0,False
IDU-c8669478-c9e4-4199-88f9-b2c0a1d00396.pdf,13,3417,0,False
IDU-c8669478-c9e4-4199-88f9-b2c0a1d00396.pdf,14,3454,0,False
IDU-c8669478-c9e4-4199-88f9-b2c0a1d00396.pdf,15,3201,1,False
IDU-c8669478-c9e4-4199-88f9-b2c0a1d00396.pdf,16,3414,1,False
IDU-c8669478-c9e4-4199-88f9-b2c0a1d00396.pdf,17,3619,1,False
IDU-c8669478-c9e4-4199-88f9-b2c0a1d00396.pdf,18,381,0,False
IDU-c8669478-c9e4-4199-88f9-b2c0a1d00396.pdf,19,2753,0,False
IDU-c8669478-c9e4-4199-88f9-b2c0a1d00396.pdf,20,2743,0,False
IDU-c8669478-c9e4-4199-88f9-b2c0a1d00396.pdf,21,2238,1,False
IDU-c8669478-c9e4-4199-88f9-b2c0a1d00396.pdf,22,323,0,False
tax_expenditure_ethiopia_2021_22.pdf,1,121,0,False
tax_expenditure_ethiopia_2021_22.pdf,2,712,0,False
tax_expenditure_ethiopia_2021_22.pdf,3,2891,0,False
tax_expenditure_ethiopia_2021_22.pdf,4,2704,0,False
tax_expenditure_ethiopia_2021_22.pdf,5,1554,0,False
tax_expenditure_ethiopia_2021_22.pdf,6,2573,0,False
tax_expenditure_ethiopia_2021_22.pdf,7,2045,0,False
tax_expenditure_ethiopia_2021_22.pdf,8,742,0,False
tax_expenditure_ethiopia_2021_22.pdf,9,2683,0,False
tax_expenditure_ethiopia_2021_22.pdf,10,2884,0,False
tax_expenditure_ethiopia_2021_22.pdf,11,2465,0,False
tax_expenditure_ethiopia_2021_22.pdf,12,2267,0,False
tax_expenditure_ethiopia_2021_22.pdf,13,2517,0,False
tax_expenditure_ethiopia_2021_22.pdf,14,2071,0,False
tax_expenditure_ethiopia_2021_22.pdf,15,1357,0,False
tax_expenditure_ethiopia_2021_22.pdf,16,1687,1,False
tax_expenditure_ethiopia_2021_22.pdf,17,2091,1,False
tax_expenditure_ethiopia_2021_22.pdf,18,2488,1,False
tax_expenditure_ethiopia_2021_22.pdf,19,1834,1,False
tax_expenditure_ethiopia_2021_22.pdf,20,1370,1,False
tax_expenditure_ethiopia_2021_22.pdf,21,1348,1,False
tax_expenditure_ethiopia_2021_22.pdf,22,3005,0,False
tax_expenditure_ethiopia_2021_22.pdf,23,2332,1,False
tax_expenditure_ethiopia_2021_22.pdf,24,1567,1,False
tax_expenditure_ethiopia_2021_22.pdf,25,2211,1,False
tax_expenditure_ethiopia_2021_22.pdf,26,1833,1,False
tax_expenditure_ethiopia_2021_22.pdf,27,1585,1,False
tax_expenditure_ethiopia_2021_22.pdf,28,997,1,False
tax_expenditure_ethiopia_2021_22.pdf,29,1023,1,False
tax_expenditure_ethiopia_2021_22.pdf,30,2032,1,False
tax_expenditure_ethiopia_2021_22.pdf,31,1467,1,False
tax_expenditure_ethiopia_2021_22.pdf,32,3088,0,False
tax_expenditure_ethiopia_2021_22.pdf,33,1547,1,False
tax_expenditure_ethiopia_2021_22.pdf,34,895,1,False
tax_expenditure_ethiopia_2021_22.pdf,35,1611,1,False
tax_expenditure_ethiopia_2021_22.pdf,36,1598,1,False
tax_expenditure_ethiopia_2021_22.pdf,37,1031,1,False
tax_expenditure_ethiopia_2021_22.pdf,38,1116,1,False
tax_expenditure_ethiopia_2021_22.pdf,39,1547,1,False
tax_expenditure_ethiopia_2021_22.pdf,40,1053,1,False
tax_expenditure_ethiopia_2021_22.pdf,41,2431,0,False
tax_expenditure_ethiopia_2021_22.pdf,42,525,0,False
tax_expenditure_ethiopia_2021_22.pdf,43,1906,0,False
tax_expenditure_ethiopia_2021_22.pdf,44,1701,1,False
tax_expenditure_ethiopia_2021_22.pdf,45,1924,0,False
tax_expenditure_ethiopia_2021_22.pdf,46,1993,2,False
tax_expenditure_ethiopia_2021_22.pdf,47,1408,1,False
tax_expenditure_ethiopia_2021_22.pdf,48,668,1,False
tax_expenditure_ethiopia_2021_22.pdf,49,1985,2,False
tax_expenditure_ethiopia_2021_22.pdf,50,2501,1,False
tax_expenditure_ethiopia_2021_22.pdf,51,2152,2,False
tax_expenditure_ethiopia_2021_22.pdf,52,1808,1,False
tax_expenditure_ethiopia_2021_22.pdf,53,1883,2,False
tax_expenditure_ethiopia_2021_22.pdf,54,1885,2,False
tax_expenditure_ethiopia_2021_22.pdf,55,1332,1,False
tax_expenditure_ethiopia_2021_22.pdf,56,1631,2,False
tax_expenditure_ethiopia_2021_22.pdf,57,1665,1,False
tax_expenditure_ethiopia_2021_22.pdf,58,970,1,False
tax_expenditure_ethiopia_2021_22.pdf,59,2054,0,False
tax_expenditure_ethiopia_2021_22.pdf,60,539,0,False
World Report 2025_ Ethiopia _ Human Rights Watch.pdf,1,1943,4,False
World Report 2025_ Ethiopia _ Human Rights Watch.pdf,2,2664,2,False
World Report 2025_ Ethiopia _ Human Rights Watch.pdf,3,3027,2,False
World Report 2025_ Ethiopia _ Human Rights Watch.pdf,4,2652,2,False
World Report 2025_ Ethiopia _ Human Rights Watch.pdf,5,2637,2,False
World Report 2025_ Ethiopia _ Human Rights Watch.pdf,6,1071,2,False
